[0,0] 21933686291299069650758609094849546728521039771243585937359607375176224384737483320691016877425896701376482278779482299007671470242225572472460883226121451015867260792282482859245248737814854630688044232523255215950814782958732732244762577686508277864476386700767595069100828325001338533461914700825426667029454904281311848852994200295699153531802329992586698079271695340400596555583333137936660386214770732077264195860772713448945678132608417617076926816417997811671711211307065709890532789194892948865449573903632998576351331367834379725669696142629880502514353383327698147743183927625309014053334550049771215732870227101292966253262472374299163023985699162424523141564894120564121556258608122274631119762343314339523601418053071405056000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,0] -224743529482897423518472366494984442884944212074580394181880328622773991454162228891909286448482472752858709520225714595765519805506814417985849577983288518782857842669997423154924208312500749023628997845885308971847402691107385429875170748273584297669890945131313872908075635209629053945258761556281496499705053992155913190317206112630925091284067947103004812682414884114772502838617862242356391901590354817908731741332015423393191179729489595505562034376405365922231410316698947277733803017654101218077342726934645564209356501987525239939328124076935149244867202050089260987846791534999961617776503417451933106584217264918403834342298746272333559783245896068724345758761542279199120051430164755409906395700936695523265090132171948912803840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[1,1] 400641545663045408701777653894605366551674151142365025325653316809582124829494256361070977916598030663860217929170392001922413547020605059187910278132366825782712108717735415525402156397587041807014410626549359566697308470773564229567574673094427334279173867422182306204364784547012706075202209205314905383103587235304276047279845520235296492423777879000680731075012843448769606484771675076177743703031913443339027788211857121997247243782779409145235542329517142087990406705845824912563109744169410790875270406284503624034456640490071511014584035191017387211850853403113486942733440312849531284437678756237762624300421673847143116877407581452990550934224830326183086626430923110041163394601642192239253664594760500433854432479107041724549038080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 1109838704648638352282544558267743822962837598926239654515418726803359742411097785489060038865154644674480179144053812176189934703911666941363495519262219976014770310365932629624968694853401538956616165032199301806223744207409076497767094549286267721580305178630147295458532932246598099144079627982114216374591733765566387240243051277751695463938231836947227702336829436867599998786322724119540535413295880397396433896998860127744253925408274409452480177700379081007203998690345287508311212359734597696908502747277772363342603135809294760397838229917053979496174838706688613746987030250150656640803333822144099790610023931713676773936386662329137816827660652873454529158405169702005333377446727484431919611504297067102089458675887402104574181376000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] 2495214316915405837016060428079132715305324732018350478025756498886577590590776705146242051474037841372495295622590887606808253219937028474151354064542896153810766735817252607536321386053031304780155074600693540573291781064579151984972715642625252525018196053325330504102814541955189226223607355556895718740419255734218755744668498330445591259052634376060806417631586260668473742910922338537094493168729861924956589757335938661398049148866292055215517973739123287203616023500369378934802822759632119494521137125653432025953119547722915030342060001744590141106258698034447159637223874953812003874928356722193645724179589556500832899149887898809118747594443172623260738692230844490713654897549744664749008702520810065231862475518199017259513958891520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] -24341990110037151991477703370845312740466965046802784757782907732319177059755922692562065351957696932493589981930971893591164409785382795135981486664477178396405778905371635366755029119971361345515691393480832728174154154978764893859114052857995694352730499081484420387669965920284900436137276879380119340318300726575684110597545865980938801168721881766183456553599073346045179181328551103572002365082132232381320338772169008036229913238717726677664135772746055779844206998480379896934276953114505254535409035815423867010742712724389314422989505866510021046824979865945170458512209637894762317689961082620287330031417066789771120485407988979811615328266144195694124864525506457494965057871277614705665055104214987093191343343634183554997124041107570688000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -3454486685960681613474095284652251641916778647508791826897366646654059204292322550154404683710328748521377374845542745520486788114479736316287566154826070194022670395289299732313269998899405692845217759362247642597289443822187658760418475057036195988923270542329920763658104115281822354518830368628743572308279231963864025943909031586998430079906748266307234464741552469849652611023415937204040352108345089725093945869394439601449234082743811093704355271217222725738486946994965997256026591737521587353772174178432777934915837585769898149466688868391325945763688647101699178963834387712097841879590953265542071244126576602200222574943073605011491121313000964132555202684670694849592921759400443155375960124896129674092658741087351227468599798005760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] -5703039357048156167307120580860935823560879748887103487271269923651525042919351366021041427233108101427661893294942113134032876983470303786255972440524176734234426709512802232232363148620935382926616693870207959055393032146759706225909152824323261500804984352647177258550592949690001398335307197231626747603229536643194162471661765148817866835662961911182768928869130949255436454320921083386398900375642761395631111313117987059274235270261265234742196131294546661745229268931001938139519589793248849829399035138885217853780376310286360589176693735598630509937165194591380043997783731886377047961354543814574770550170426994393461641088044046312006843745781379161251688687318987145730035478469386667146369261388236939202003521804593019814542116808294400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] 80690505127426008724763167608604357463973510193379018258933867682256982818627145733091592278981703812738722929889697197765695374393341330229509499382024870620543077529589451663243292569793710120717416002006152667900002232746967261563636159234101972569681872485481078045266611784854182908185676215729778138266163897699589761814363502018145458643915623712447741610293947831526774411342290666299164870956524321987770147932619420824590786403277449163498728623525823228805242831777919157969754950574204637672668653959616881456111843363187634607107695585878711009967015207998294958508103026147004307626819093398984692580897226411854603581706555844766577013119797618264225190260683519291372950093624906627535028388276207546720772598428266107935310112912048128000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] -219457132838607007126955116760204596741871984907869667153062652399220927903303419777119827764491446993152734891509766679281074170124091454831577391354194355960590531746395384714068876194938002834897098838160280181263724949215005177059952404507290979649308625056377438696275863771855042203823839254981636640212118196077718223392547339559398877744104999572236133846852076774315088254423434109486674430244423883478233314222759473556380332119132190207953693497906934282640088456951032462052288168407287116665950027159582889944481744243563401876031850419950627497396617894410048285805976082248958488414856907471914158471452533480258996689007925051089253363368292501804480600853857299168627555623438854542996853084146616113093656851588861107729961762965610152591360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 7520842551866182150995181434854371800481994217805711518490451456664711403628953037266156810051914899447045950309950620048408321613850013598811311225234616947821972065344776682057594095213629761933106852075264374317891444526671176162127874789234188285548279693958168895846151130033768540876066140322444731234594197727733386665401111648615561982798914144952203026963760527326643065697500149198131083978448655575206564567199993625159819610492574222181639305964077058512079701864418988155275419760385878593297098530543874863527855819634608596443813363618554289250348840972804924658119049363790252266460143432906738278269487853848052011484429210596574082528190125386031594853910316356307772627389556797670789222622991877424037489057517573123817432397381632000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,1] -10580367890295120949401394888253701747100174110034742932331739550553814955840554294660764303526965828985133662871725895780627805931724111151048702987886846039083515668105799098571314119221200372148579372258153587379732906104828765366329285375534876446897550791370989521841216659693282282184767903863299909599497498626103136629088858969393769235368693103390754567084679325901355374980260476547840928343709765092876027411163698642742647033222283842031110416495521172261861925070881262448055233548015641519916638845183901466932847213086726381543190347202339990556031151382562991590610565242792315851849044995390647832287018137620648135162150696601644721396389665953518675254868631391772571354268951034475196851128051012199336444164304872225367538221805731840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] -119821538189116150677795662538178789254086046009017568759738782177684840143101786735065273578828585017573937729666778510804667657509409754441878884444167981029644728375338215109166174980233493561904618922465942897391143423987315718804172783076608252500337526896976665670323423613245203376197161563757095123167222312053163996561079454412899273009161197780166901420189279903467922104609429918441039743823232926734762227579328212298703989163061742295885534488238502181578873620470990072967506945278514618591990579954877307806147852117936653672457993707344214548342493617888198535941529535305234837742425027203394543324840579844825975794188936589637982244555432405597841535514416784508287781038990921145147129657594807928364605987399491976709151184966203295662080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,3] 314571472350796034028812473583378765861777314331350549887347033215177305804216035151885029960391936134816418162792490211606014463753299698344754012385970719645713211800970029664958503011971043657000325063448519978487624243251482162530338796979460634658082976910295646687417474124117678403008852873746723763478453656912099909047118493454057760897027805137138552120144049317408876789009969809552381923433343618609078073121895307532702800651690726785887834304589012090835324768340871950393796315233639142672777070799012107812047763052369152015232226398631652990256007722059937342746077586083015988891908568068324660538208441992623082463321258671061701020992691768798128204185878469223251717915096222622874516203813163645483625258756941802804107143635516207923200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,4] -118574445622574457087201718690098366042302617687817742925991857563257322346181039831719738684791523809211706427716521372517149194824323481792693150531763576678523261436627561932852481534820253695538209509428937194834732791309022238145826373154151662288254052300456837221135306379009417587696548035136991539614970145389123136313478831722887698512689424914065751411031573282341290575540371719721469477844015659199811605970367668436628018256617626440358417194329543696912390993450405992275144739302353781447120635275817387187222502855726055010547736347141274394223341837132774357365955869013377052142032088091201949145143289173950831311906004921409919526477231405077949326311465397844687186090876652894824642253253299044852054434814477236072267291433535275008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,0] -12071268107337419067331008316402801415495201197156974330213893635762462962753838775112237249111930809827727034795523492048614121498507206338136555673703968983688463403367252308220713998875543394657596222833076104557842560253529038302068864733023094922137641808681556697404100072581435143389603941261927338995403199198949173887225989080748027578795488919446102236318769863284702281802413208399959552535232220062536467347720165441183682969899732501747442302369409241427453832855529555833424374382561092272590252568877726227778974063794569401674035789631379246082149358434235137531922755211498601789692185710659996396374060120424178120715823365102316034636971861894112496677753580703009304355793999454610130526708051304985753823623466918872398320816525148160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,1] 60951532064557746938275701141365500911993437701504214782161389137838525158035088745518087531641536665204620431744016996719196381825653361946709639337272993041110734168399849828621315952342019231590973562043824806618290197680886590977984105576874950931447984001585935658569294310949374080325087657599521190247620169645871766050430893952024649845347955950099226239017117092470509104349980748119593446859441698420285233640916478019100760697651652452772955328180643439684817299626347934265831785075830334003178763871375261250917793024453974993586317110104072142590463939603210844133312324073682602495283439119890963706559526541556810811234367642114658061696309693114558813391016395206123385529592980635299236490487649872002715090391136392192918666539519078039552000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,2] -7641683397640996112892177434284012630513004630438419341565627228355109268656644262887307508501443617775195118890638774931635847372212629405008411209894517623629683350773692626501862989459960359820093264289983655452407688900089482208427055508922414264110644895979518644512633323189705359240064118705345615560512861119214914613561868346782914280762280365090209664394306237820193967436622761272916828474695285496820765046032405773687041476476246430840156689611862909580902922961525658918457080816832916725516987064521936409316281493248553681748886693689377091533731554273232114137539613460537415020945173304077773483558650948472367886851515599499794118874039853254046866947828407039583238630497693873990979963364225981913183042407937797355306891588631957340160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,3] -92853771094289937828286642348181999124062434300383733255035136842946652113763108566634261946951123279727583657277494816624963465635777125465720300416888968179363613602619496371985234870530879944354121199464489751749104760688941035645178520037592288093926210476318755571946351249266843211484172284415169656054551826100528986949019651411961908185284322914110182763374805850254293156091647547758492011906087113099328028120670770124658919947567280010025225355830430682903200672708938536881097024192275639579502217491732970505513194457596724099775099556161895121251209234972183468694705890148422446144027829170369349830715449642047145727035755663146913976654904395390054011523917736926182157175743663193037625731793515010672799547504577408988590980214416547512320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,4] -828095076932223144127050413499984433411017534130809341207622067929295423648117171664260626302037694602630079314501208430823891693214017551281916229508552696764367563045090008724037142907125536356828015133861892890054617047072025172492701075930597629522909599854595383788760070071498843845241461622242769468070418291267885298102155597644793999370465627019461199659619963272671204166132489618297305454387267295709487994163889413642245714563285260179782668803174322993912341271504064111679253314993886169304948458255573225608814962838597382868273145210459185949023040341428048877039046242911804630765799474936592550034242656733450495164281974583553193636950610541817935990289043842801870777929765574412504639526612206561720638117526923221650749498332179196805120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[5,5] 3497825422521280416186290995903470524044135694782913659340307924090107978484020734194221462053473194290663665945482414415673024319372132383802740374805367838277356726813264946242823354226189583872650297136483309770611184263046012561209115966935308956067064572103001640452832983981358837005652577313793384152573827019432436890144394623939631767436689845734007627680811923015734524482580854716616244727741907723718291761835581428914378789209046478484743624801707450168135212097873037345747845425892185319365508307466989804533151736173578782812696493597294897889562502766114816136804374836363456068016274725439769819615197065333167237092965463175609250555354146059255644848194961275669485035727769781504210907679836342585899159731752782874508533506445914996211712000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,0] 14726368420976321742244079587099325203224151660655876609015263931015968064327751934573895141472255289735264806376988093320240020734041595798791840236356102838303410892707735162505555470443742147406121584048713287841133665450087939006725726486637408224508717790257375169767186038596270799946245258174485617089048961897497598051314061492931895897008025132108233704221179899357014455257409030067391110364797243189744226037149909084083177084262782515338186653266937849419712982584951139898064922992687072925648364098033549432258802323465637152084807846155639445905090909157930633373079211131252758296482073455121436434043342850322289133143618115803948408248393534234760648119380446334835851165104982200082666811548705066498423427731942986799588003972995725918208000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,1] -123020921778479233732099889278353116939284475710682999126879582536589515181502387273060239158759662004264856291484464487592066353402169659038112479341229261191195996266209120597977465222047401973090240697498827169506753092139083629042725123919505601403794095391424349080015671932282364274392125718840621229230190806040164467019396187984135562023781966624159771982344608003723828252348846914349922334694902038304017689583449714682197073174679205584136986508515415604837206311280338301215237765143253526550011869832839928646519740574911571447465147048739971286681064058654241099133921536194792260751423266715261868160690045412257634980274169219393688180981252966677564362247660316719808117798451520640805672251156247435691269145518750418783894292107260382412800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,2] 339821037198973264675400151667452287642944907575052052721684896384922991763021011094065098931551259024274627208594845284271092271067272169534278971942931966475998083287564689199673303400318079375595983399945600582482329518721708947973236820058485758275891105873647714813680807131470247816660030735885860434079081695711062925333713933807076122631531800939866949989277412372008506415758698003448101945190130779252231777192819764006776606494010923756580569270348420877148994669607105163351409391905728513713858466356280593831459287502445649310776827083452922623482903445458926234742446010311458459684097606519180533296283074440941246452097794141832387180893785340790652370556175528137758479423814887309866772901142637433160706783069508304962283094611818331504640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,3] -691397241190513207687090535149555900631072104021349320288193675659041308193882295306627415152507166899096587403158095564789922426639159841813010053418589808315166722961830399693529243500157725358879645464701027269119490767957452300326636521687160002293101244041806523629718698745700771829078175517370284371024978384609048857185880931040274609799895487921177339087348620354174192304985200142888069698788141013826828216633776666218893881153514485037132014329229997288898945557580655126317495708051531579166631882862010652763048080724970048125986364617254131594172400268356728052662636364112486011972647783870352327906088382119722947614465234882271600038084317977781203468938267805441397504997563932410730039675169823754854430199750854366704224803908827291320320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,4] 2494594434098391793371908779837740081531187830019383648201957404763943141260842499085395252014024627196091417126612410435823038631178172579066035782896621143710448549305871869744664525962686819190297995647998516004779426995096255845704799665207278505712515263729202674245737053334793882000781682568812495598026614897166176002586225647128924256074449520652520795261664994294755509354322539460600392668168371867758909726733801773787485807985664627763780617636002499988667464927864161328911260438255726281094529074029201560773030610365745635838927495118038722800704316050746854555358144822599384602195791573882841744930044222375619588402265319879728906405499011348245208576861279816171430718439529285266250033140701384816280129905046033533290201546455834892959744000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,5] -6939272327193147223329641865179325513962571606901790881990967139578027563749888321912069944217216959247792962607709310507743107164027552502936728686403196145249155433342455169368492353234826697788717623486841137676270141033183968270011907277921903878606816081575760981580912017700361565873882839941658189035280614282332681875620254061154809061490525410354176637556598988409087136128476576014545019028589941389781333802248033622019333854028293951885872071320334095909434320685038430213642284297420068540437924453613387143373214648899649674244606876927455492228463219213508807611840774887959103441581253644363620752819894081755371779413859556956303567092813034994649869189483467809598591385712952894248444249711093122561702830230218399761729178084688744792719360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[6,6] 11947683930833158852023295158893023132434028940737856452260348924183271892715757395308029270876261586759608352425284652376885125383353251884211536524047248151557470173092126630833469359055506484689683195831136149158805241947565705587606549500486234162902413442021154344712888808035723014068385353693979059338660648645968618809783141305959414303706237031529088025977699674955512456720939780672387833580953817439406207573045567377812011880587345757550893752582305617878127710947440424536331895592481629480710341831825478458922740055354137051104277453360091593829323216061796443498899522570594856096219212199186763062490558731271451149709678553099059261181739354039711719596536402954375997997249513409771078816726605578195022079277857153807706543594527723605721088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,0] -13925863958265472429110917339285910079491463585010340828755268533183912315514679615797899962968992737023167275228801526103879211679923472202344613339978958468210074590727341140861136859217558913152060925153414960694891633820232743933907249383742147520942335854291109719977259894771441379452470479647911348111999157194008474153403918616294159524637797993774479701804043742266373131895516249726345055372625400070145131269750511975771081599212458948924070219723325244517951313014968041979168515199062305325044550045747293998144129954628194799432820954501950154056926736784652831747936105187751285646199023101090424172127060116062376373302077229067459085667723340150569915182867039370925112868104400118079649037680008688178020026562791646989582799693269948170240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,1] 154107967819504850308668181100007948244455061539769929035511260518135362083319015361330864311113831911112362565227939530174689022027552321839284408426321074678590771109157711232197763844486302493668973005921743402146123505672424947880263270813531735401854556158209453024400265370253141609167949637002885830230344273058055368005331579902794161325571096655231379151746006037048511972582224101026549902867275564878818707114416573925040810182537118745950790033676196693139218367612717793720315782019058718979267463151515512821097533473951356112986536008609585539247061742250289698059224126040315060768408391491320365070899505909365297106840593804028647736686898064376101854568577403673150380868484001770290675362528641295913689563081618930448958411714838302556160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,2] -663940545791216651405389150672935594965286398405750643713593947339666078558909333614805131169620892830144010387499779305447790839862715239693185488344041307658273033004158956013818424675084425036311863079122792417932054478498689388985314270105225246317151710598996864536189095683326871588318340306023850302612406594210019126850932028480731363598113474574131534435836725873665287411811234487258423069112803402795379399979738541374229024666396810597002115138859958545474209960762694052294384524316001564638529903870231997156810659438650541095636103790134311297956956063382547660983088421554058059291910351365309602938979140449352740290733617043506722281540954509129275445148252799529681043527656177323255305913016918267558291847851339241912171448155173709414400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,3] 1719805652929904676335668831783131413690137591007702746741017509756459828797554681891358873513189713887514175253492508928660232537638009151483925413876104037656119552107125562389397564435607551388617025394940695856110742573500995396840976980417870633692225682822115450911950897164179928946048112367449341162623066538836286194209438174561844586376006277862579327943128155935921632253296635441559242851226535624797880516965933131348712956089515247195847938173683004216583457884526563311027303050859826418069990378434431852755921264485039263132129149754931130070334270432972713385858978743896885764064927980065763401424804018300573518691539587230325814022380937794593050366500613792537755152851707162201637027651470869621626713533364999330508683623063100613197824000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,4] -4226914459203167876669389283122062033338345058496557822151335152193657130400215560979974200776323615207873184219174743449281596982939040091585135995752204237385228550337644736228243932399745021786821603919065798285490371395277355670634021851864617129992672668177403431108677478188234282409323200972261961235130922376704604969198701616704409773778496849200583948954083316466876354242478787072660667647202355300275712235662539519680217258148369987819109759483419575627035400352119922201881261960881567255516349829859300091024128393755220689304835350727475413175767237417756117361162276223032018924794658138772289793314261284611183169662147566073234489474650872448497581876826265732263365351550080858071411809510748459774397249971161012013161168256814497870643200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,5] 9357805234829030963862916751616191457173686348108096656118733000657235823757703375369328568128232741229008401546769745121865427887273642761836400996537178797304896532126758140886180204780697751558279582231703454136459139696966239891964520513082151108734447475797297047880384209997868466771417462920259457765817726967796353897735384514884721869245360086259136826434774536684768916966397021332428708627771044660755402284219948972735916206064326404092417983570681468736726622656969832460485536053606857731589501980822151084970178455020584513916776688444246732190838325280751469340021693920349183151926666559648089028534077963911037252883140274605898147903292020239087041556444904191763141765824461271591265311351141559300325645444898681298264579872937602059337728000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,6] -14472551628763089761579436214005221576807537267290610853052991272120435313472720711307006825071826416750842874780588781042271556590622122615359212647175401519629742439770342304492764912542478544664424678363667254524750074620676284244314720250610578470698035371106643231728237813565864455309312594345889894120527182467310541323824487688712700329348883795758777369571436343067547212883968873592591302803575296574293983865821771238561221265786055672834399532791154794757841884424854707182427042887900112516552566243492223515019781618620848954333541905771549291857027972082255013661435986819922421690005701154857165136675094862587887247050068433189799873771369303380672597448142330694010434199852063872925025458181585259331951202836637093201113807227728611172679680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[7,7] 15465156223453419073778695237583759388467572257623608990598612768215095608618048775801914373884439632206192278701770217035857798542091134550642960857619069729481286263376352836366747783703275407553152240836732677453161924995736379557553988753016125759343230245631803347355014871084844782016170549240119410822156339170710843072773063873785660393317646740581009094774842154406989135285752827955366535471050743084082745051215992764534745219553290306018664013457160444060432062899272614661392272529797372566958199773514587189129613733305597893650240462707022795591949333062777078710800658538821704858499290372013582700329451374640787556384071461664939324758116334422663173924563891372497807816347683932215819612945790806596461817111310698957841604804118095629123584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[8,0] 10357418955999990508442390949261842564271268421262366309723483161022130746064193457686647247541090667174678771060991102917383303168559569367596396495327055389250237495399693085206855356749663579749224214840500289333539701653936502336423024850009022404960480549204967836608116818583084040921036797495469986917863076212740086222305130162844207913293613528511886850365942753517331797203511086604444884750174321286558383095361863820132200976768225015888285647720051316776054784690144189515055617130667252136723700651253255802477267319673284430795252155249805337903668141270998521440886446825512044547648065751744084512130166300915371307628600298216010684717069847709592993141953964463661405128149152280285263279429818424285626456146999718279435492579996094955520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[8,1] -136690680131655208201450158248288892556492259046687409580183834610961226162717690041345155516231249929734909898051915121567721928096304064390755653042220920705757245048659434083114461179782218446162892841938224813347732172381332241161208506095045937159771345897553972834398023292808890578714859937682817017701883332796742636140488917384795201446675568716075371165343376201606478852245476046594639167778967837935811698080352047031147219041439545566769274536145395935673964138030010315258513628710815827207053480415150246245520755637800128616661796181849100910993577773773899519905285757797862458595203114075406279214425216200925682757174013738156669448495091632107670155132605770066956920545345450900543467358201247031721864387793298433117301934447735896801280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
