[1,1] -3491987103237364077247322162241837602025243907816923409875332272850424108827470566456519314669996647297451086292471279325523545257486092724694462127447598139626138670342085907333806519151312875455516062780210961632822934791207628984093117227143461497513825166141584466366574955758357784078514765324791096172434617149010589078095278873022649304743154357575178335514684011855396204912338436765734444907106599457924445544783142324229298209816289334271319880046691325242811710080277654664771882298630165701045385528899521718162352569811066163537706405404954287813068071410274165115456637511842920183643550904194458982014658886093267605823494389984732954065519524253792873363944310391919295640872006405134234487489858195133563789233953825207229111050566778722114390170171530065357545013394132257784417499728236237734009869104224670086265238756451028808081308137816064000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,0] 6075294822419677522155652992829122960641382934661900202021903585150526431061215278058945351169592892112887311374657492646565926873198339288483407064321540308365493624883422514359809168061746210307087113099509408318039290677649502621231638167609640029019694103475602860220797710579676308830745724419983019182236500327335931388729192126559870615838502805785620519710326060932612936462681752357049578615616588803196142944489120601491123115558016989503597886798957755671782791853457132072728031027123248879204005737290783174564501578919245765957235857380579303223861265208002873321726139662265072846079718758160498784129914565279159647664146391099750323724839181560810219995835016407353466194081164677322140791333064661793884829074190765128370079519775189263852808003235303730156827000378653818665703115973272531263197532661903608692778509226988909711147763570311168000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,1] -19539875243860844680998805311558505496825148632281109426894808593395438190639285185213737200391810237867153804718090923108764383404759687471685488559223598244504355389038021881748895163980347142500909171712070922698194354587968626337237900452986928794777090876802937633736766755104291161369362372464066819784378511596103099793865188359184316196335648165083668496732939316146632591811429049286482171730154038388496050289272622748940312306216562896952472031277721856573307387651294118406519216119173335318807874670463900054520529947317857949361154923622922492265684715706469662968704749203738068652391375863847735818800398087579463825694294343962689712466367776021994371007407354403076336458461896742021567638258523878986642607906234468810796704346295862228746045216913627481179542689022761667220823634801166879316620712578625590808843498994239261393329387310155825152000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[2,2] 69634558351321649293235719323396900216970981317851677586234460094138701882564151688143202381584710718044646144961446230706072273879351416436007965980929124862235551197081210579853659144033375746677825268032173778939499439304289881395358520117289131033060302525561046552260679452796120727658445900466296192187984920117318319346765305187363895377897202493774499415636603876088123758673000975227698149549901985580793864675772659324851881571390464738578093461864269512788005414735115570878960606409992568368899389964747553136590780822621784927924662154128045794971343346546289746915069229423920357900642192353273498363625789682755911953013656831887195992486916071757656395389397013927407350363204724271804544463362159225608237602118214665764426458493903687452672800856364537079719572378897533858945763652596291368272887551757779555805271073213739965588226921108341474197504000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,0] -41718008508189641233049955945759460016072219995285071050144205589212476573127105180964752324950570575141157615880298556199593966537534951525436875107743832653566912654536687194600347454233610824610492199619900283801037488968286881778918682077861217171672877549062793067189315289324654961287135284994679392847291734835371851342846999066416375686556166295676732430489051335219067328995196961472887516156118226509154888574138446044025512342401617719189164083025622417167189706107838907400289613982431421138907044796300526174764733483445021659689841091902286537826036580096608553367531254284179465925784889247193562334181409866221693031725381356124481826742402325321499844704168259932153926193529529733163543457891677133500360423534764616341022608295256472158069569825055217643557295952062738220722662636907818568047894234867437670308708643420090123663658851460169334784000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,1] 329925731262324909829930140512719382476267317240356825950590625287003384372138515053033352065590780740553701885719202914726569222865201611514831782910668516806986007423751329798662632036772572335641645919513948170513316190008861689815284542511834146255574667997566489691629282495199076193040290350786811626919036629856574349674261724955272032742343405486612368404741516023938669931491026903827413703923051535025215231815263250048236581697475049712660477400503049658424770767348327090829935713888785693239916851374755279768446118572487754081233024245948188343897562632587214328957692694051587842523230461761874342574393598080139729770401355304702744559424189584300444919789573706636577626339003341297880341681454956183925008205689659121939437206240081228155163317455472062077370342768984425312354460266754487529309146974701904965625810045883623529921937967716962960146432000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,2] -959614687431073711064920495680247646885758647568528237439938085683616578800905394339941548216003001187552558283175656628269684062418016024985476346337656954381883563730812117779761901305773168062280561205839953342559208563352745307535605815123728019850440257699370349374100790499127836001524318935660481406194167559098565507732723582690992636042634405067344865158024574631781257712188004851122181547253186991809655021002778501941204572861761747347270169217904272328797851698320982201159037932765663574923713803249177470737589572343287162875875675356774693156256489143029718146556343598512206079120611876102461175988747751552322492550312483198079852112603271984140478073049899258068299682062149108460272583327405796648831853368175935496061002640044186982875944784097637380907146971350542597786018320719408575900331213810348583889968562854322867112335309468715917130684432384000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[3,3] 700616195306644276255215910294792993051865842926570670966625190299366970272225266532766929491089307748904434685730725499283883752979759605386600131909774287994222777769364247708414041566801858397384125883269224901410671087071772986568492269714333069398213369973556725468687836044410127145490335745144727580966882629988426521573366120863130424527173509913654325302660862785512745004272520143150078458684187368730422479849596887763751527805120806721026236659971383900821551101978617254411691223121534401212403130724630974498093275970477504193212516775443775020010517734102231598567379173173729274997066483344972100181628987330018343309538189070953157602745333769132602146359570962395285380254497169704077576886557056529568532652624563164367004209698320702612185228860561002341917346053355510996223559111805379927112151803982629401865600324038120862222201272071313484749228474368000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,0] 136293947272262487036118930384688222092772057766705283828863105794934044832129022887945394076531233221580186743622216549574427630596858699747593567740585821840260385701578171099195963370828746946728803917794398217310605419226915097450245083572393508637656807855106815116893450062869718775964451601735153236437295665916446690386219337767149323874900288915364367808027817367371111154595993507251141648998425395231037315186427850989568863181010214856636785026645870610266588404981902252530390846654744900561885323120695091056706714705241498813157890357872776125018544105066624916754144236945049456031766632026343705050098267164573997157142204754849017227753906536888981994206462141070410836106309358625930630350050450964096365088687245845725465208091533807784969199162440239548191068685334387923855528969619811107128303017922392579565138743587095143621470757700468872314880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,1] -1089308183669921756497078768962837449503417630558956273227447499627430249917968068277449266698503723423110900883294423347367151296287134938766389196291552925770224138959472318158520576789961655997948771759641902519646415466339978973840017098682177788096318849113740872697404374475417255129456440232801905824095735805320777525368109296857853211660370203114756596573944967969299635690320469234353168738889566191219866217075689895243662517685839777845922321450259992300296409874669437223535473864744198374364398514388475561278307963499651530609147737709780506994660874026321860395343431176098724055711326789358411729309308496436406821679098810820001282588768976131265986762187692193409269445495729644110255268447433369183377149394772061022128057611661410156594961742096536296047494156687667320785130207123529046484316719554081293022135989166541394841969069664632039535047344128000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,2] 5046030358139322979758966833279119220557020971001838619274924626555728371367597171773467491441637133125325799411034324251381691208601721379845934381474801115930644313680354337471752523428262586125650607156210746654439643091352255823149882622372884700081918167926833015070682997038938795138341771128391262389934904226745450780167062102424609427741152092760360548234101605399233513160605745056781912243363088950831353995579893887205065711680873038991557828865259198154804130405163292962423687161940221549860010245813067669928805341386439988870079606669106609723876136792073569156024628260594917732174050911762020473287001870607035072913993593577632517915468370782925023221260877430187465711692999749995360505495582507114728587097210503587709803626106853141693276841885482383059120300636998159196654108405470863615910487167947666402698049931822970151448840936976071709451802902528000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
[4,3] -3932030065990875704081805498792102880532616877869204928466396840098456520112597722921598661637280668608042507165457336212446620793332365827930103013022450024016403985909048944345840444033220215698796881258038790525298712427635512377678789675823439725775408480041649756384490015516548269264405545972545329163366465616869668286040419088087005284218202816136632744636883078866216692534482370968195122906602734983418883351765036690402120932671822991379158734323816826139098587436296801245601521468672218361927394818893867296437161515805800013828760047503452423295752611769265858836271378629986892618990217159288795947832828582278994164897490991307084174771892884197207187014028565964411236639645677140996049169193501169450597346588939920446479506571980849137966150444731628443304905939317369541683679546241158173699274947846991230840315015753028927354192137234018479079151294406983680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
